file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\anvil_bench.exe,2,9,8112,44.1178,5.13962,43.5071,52.4251,0
tests\corpus\anvil_bench.exe,2,18,8294,65.8624,11.6759,108.426,124.42,0
tests\corpus\anvil_bench.exe,1,8,208,24.7373,1.95753,34.0234,46.3687,0
tests\corpus\anvil_bench.exe,3,9,35,21.0556,2.14488,56.4179,63.474,0
tests\corpus\anvil_bench.exe,1,6,8121,25.6878,3.45753,30.8885,37.0265,0
tests\corpus\anvil_bench.exe,1,4,8303,25.6935,2.58253,28.0784,30.1046,0
tests\corpus\anvil_bench.exe,3,6,8303,30.9925,5.29709,39.4668,45.5946,0
tests\corpus\anvil_bench.exe,1,5,20,18.8906,1.4424,21.9739,28.3807,0
tests\corpus\anvil_bench.exe,2,11,563,38.7649,5.38962,57.6833,68.546,0
tests\corpus\anvil_bench.exe,1,6,151,24.6546,1.95753,33.9795,40.6515,0
tests\corpus\anvil_bench.exe,2,15,629,47.9635,7.2767,83.187,96.2329,0
tests\corpus\anvil_bench.exe,2,10,257,42.7956,5.13962,48.8611,61.1575,0
tests\corpus\anvil_bench.exe,1,6,118,19.3411,1.8174,33.3367,40.4589,0
tests\corpus\anvil_bench.exe,1,6,94,19.2826,1.6924,28.2368,34.8497,0
tests\corpus\anvil_bench.exe,1,4,24,18.9359,1.4424,19.3488,25.2902,0
tests\corpus\anvil_bench.exe,1,5,155,24.6614,1.95753,25.0205,31.3097,0
tests\corpus\anvil_bench.exe,2,12,703,48.3419,7.2767,59.5121,70.0374,0
tests\corpus\anvil_bench.exe,2,11,8578,42.0103,6.26462,51.649,64.9019,0
tests\corpus\anvil_bench.exe,1,4,9073,25.7166,2.58253,26.8851,31.7528,0
tests\corpus\anvil_bench.exe,2,15,915,38.5542,5.76462,68.2924,87.0609,0
tests\corpus\anvil_bench.exe,1,5,8622,25.7033,2.70753,30.4022,37.8338,0
tests\corpus\anvil_bench.exe,3,37,8604,40.0227,7.33001,239.333,255.579,0
tests\corpus\anvil_bench.exe,3,55,320,139.098,25.1121,337.36,358.052,0
tests\corpus\anvil_bench.exe,1,4,20,18.8906,1.4424,20.3503,26.5466,0
tests\corpus\anvil_bench.exe,2,18,250,35.6589,4.37754,90.6313,104.565,0
tests\corpus\anvil_bench.exe,1,4,24,18.9359,1.4424,23.4873,29.5028,0
tests\corpus\anvil_bench.exe,2,17,361,49.4669,8.0267,95.6309,109.704,0
tests\corpus\anvil_bench.exe,2,20,201,61.1669,7.78879,103.413,124.444,0
tests\corpus\anvil_bench.exe,1,5,725,25.0607,2.20753,28.178,34.9223,0
tests\corpus\anvil_bench.exe,1,5,254,24.789,2.08253,28.3214,35.8337,0
