file,type,len,dist,pred_tok,true_tok,pred_alt,true_alt,flip
tests\corpus\generated.jsonl,2,1169,50702,790.355,96.7083,5666.41,6653.21,0
tests\corpus\generated.jsonl,2,587,38718,530.795,66.9778,2862.23,3321.9,0
tests\corpus\generated.jsonl,2,1818,4691,1059.96,128.522,8789.98,10308.8,0
tests\corpus\generated.jsonl,2,2048,93888,1177.08,149.845,9883.3,11608.9,0
tests\corpus\generated.jsonl,2,2048,1878,1267.37,153.876,9904.44,11572.7,0
tests\corpus\generated.jsonl,2,316,939,172.99,19.4735,1512.78,1815.33,0
tests\corpus\generated.jsonl,2,234,88491,195.453,28.4265,1129.9,1344.66,0
tests\corpus\generated.jsonl,2,229,57284,150.465,18.4015,1094.77,1318.99,0
tests\corpus\generated.jsonl,2,231,57282,163.632,20.4086,1111.03,1325.01,0
tests\corpus\generated.jsonl,2,229,70419,137.278,18.3979,1084.9,1317.44,0
tests\corpus\generated.jsonl,2,233,88485,210.081,27.4301,1130.61,1346.18,0
tests\corpus\generated.jsonl,2,120,88483,147.077,20.2632,601.322,665.287,0
tests\corpus\generated.jsonl,2,346,9390,187.056,22.5191,1639.33,1978.39,0
tests\corpus\generated.jsonl,2,119,143121,130.402,18.2525,595.634,666.285,0
tests\corpus\generated.jsonl,2,347,7512,199.347,22.5226,1654.69,1997.26,0
tests\corpus\generated.jsonl,2,121,72524,164.679,20.2704,608.931,674.139,0
tests\corpus\generated.jsonl,2,1749,935,1023.05,120.43,8430.58,9948.26,0
tests\corpus\generated.jsonl,2,229,45045,159.228,19.4015,1101.77,1323.33,0
tests\corpus\generated.jsonl,2,120,88469,148.764,20.2668,595.074,672.221,0
tests\corpus\generated.jsonl,2,814,1869,436.55,54.1559,3897.44,4640.31,0
tests\corpus\generated.jsonl,2,698,1868,434.732,53.0166,3367.87,3964.81,0
tests\corpus\generated.jsonl,2,121,72506,162.642,19.2704,608.01,671.883,0
tests\corpus\generated.jsonl,2,346,1869,179.152,21.5083,1648.55,1994.55,0
tests\corpus\generated.jsonl,2,1165,147326,798.431,95.7334,5604.66,6611.47,0
tests\corpus\generated.jsonl,2,351,3970,301.069,41.5799,1714.53,1996.96,0
tests\corpus\generated.jsonl,2,2048,4671,1173.53,144.815,9885.3,11648.1,0
tests\corpus\generated.jsonl,2,1569,7474,932.58,112.235,7554.16,8884.24,0
tests\corpus\generated.jsonl,2,121,72482,164.654,21.2704,608.802,680.194,0
tests\corpus\generated.jsonl,2,2048,935,1245.14,151.88,9850.74,11628.1,0
tests\corpus\generated.jsonl,2,636,3740,336.292,40.904,3041.6,3602.89,0
tests\corpus\generated.jsonl,2,122,144991,158.837,20.274,599.408,672.847,0
tests\corpus\generated.jsonl,2,2048,18707,1105.34,143.802,9859.19,11627.6,0
tests\corpus\generated.jsonl,2,648,1878,371.162,45.9496,3120.35,3682.77,0
tests\corpus\generated.jsonl,1,5,31290,31.288,4.06309,31.5159,27.0144,0
tests\corpus\generated.jsonl,2,1167,1877,717.33,85.6642,5645.6,6635.76,0
tests\corpus\generated.jsonl,2,1170,141704,790.355,96.719,5652.24,6672.66,0
