file,variant,build,n_bytes,reps,median_ms,mean_ms,min_ms,max_ms,cv_pct,MBps,ns_per_B,threads,note,reps_ms
scratch/ratio-first/corpora/silesia/webster,omp_rn_t16,OMP,41458703,7,1943.6477,1902.2285,1794.6543,1990.2910,3.88,21.33,46.8815,16,omp_prototype,1990.2910;1960.9600;1943.6477;1824.2642;1794.6543;1839.1031;1962.6792
scratch/ratio-first/corpora/silesia/webster,omp_r2097152_t16,OMP,41458703,7,163.5632,159.5006,147.7820,166.6007,4.62,253.47,3.9452,16,omp_prototype,164.2816;166.6007;164.3492;147.7820;148.3192;161.6084;163.5632
scratch/ratio-first/corpora/silesia/webster,omp_r524288_t16,OMP,41458703,7,85.7888,86.6184,81.4886,98.7728,6.20,483.26,2.0693,16,omp_prototype,85.8797;82.0624;85.7888;84.5645;81.4886;87.7718;98.7728
scratch/ratio-first/corpora/silesia/webster,omp_r131072_t16,OMP,41458703,7,82.4734,85.0175,78.6648,96.0002,6.76,502.69,1.9893,16,omp_prototype,82.4734;84.8068;90.7328;80.1848;78.6648;82.2597;96.0002
scratch/ratio-first/corpora/enwik8dir/enwik8,plain_fresh,OMP,100000000,7,6452.6291,7187.3068,6047.9957,10858.8483,21.57,15.50,64.5263,1,baseline,10858.8483;6315.1385;6047.9957;6452.6291;6984.7370;7295.6394;6356.1595
scratch/ratio-first/corpora/enwik8dir/enwik8,plain_reuse,OMP,100000000,7,6801.3701,6800.0337,5881.5569,8571.4029,11.87,14.70,68.0137,1,baseline,8571.4029;6106.4801;5881.5569;6801.3701;6880.6502;6502.7095;6856.0663
scratch/ratio-first/corpora/enwik8dir/enwik8,plain_freq,OMP,100000000,7,6257.3225,6519.6221,5997.7717,7520.3725,8.01,15.98,62.5732,1,baseline,7520.3725;5997.7717;6753.7388;6909.7662;6055.4532;6142.9297;6257.3225
scratch/ratio-first/corpora/enwik8dir/enwik8,aux_r4194304,OMP,100000000,7,1752.2043,1807.0345,1691.9566,1999.6876,6.28,57.07,17.5220,1,aux_index_input,1999.6876;1691.9566;1964.7898;1771.2180;1724.2648;1752.2043;1745.1202
scratch/ratio-first/corpora/enwik8dir/enwik8,aux_r1048576,OMP,100000000,7,1988.4214,1926.4788,1712.6367,2144.5698,9.05,50.29,19.8842,1,aux_index_input,2131.5629;1739.2573;2016.4954;1712.6367;1988.4214;2144.5698;1752.4082
scratch/ratio-first/corpora/enwik8dir/enwik8,aux_r262144,OMP,100000000,7,1826.5943,1886.3605,1681.2555,2188.8589,10.60,54.75,18.2659,1,aux_index_input,2188.8589;1681.2555;1931.8959;1826.5943;1705.6748;2162.0770;1708.1670
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_rn_t1,OMP,100000000,7,6719.0638,7162.4376,6347.1850,9938.5789,16.36,14.88,67.1906,1,omp_prototype,9938.5789;6347.1850;6984.4044;6719.0638;6564.7843;7225.5452;6357.5014
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r4194304_t1,OMP,100000000,7,1738.8233,1847.0671,1719.4010,2136.5403,8.58,57.51,17.3882,1,omp_prototype,2136.5403;1719.4010;1732.4863;1828.4400;1732.9575;2040.8212;1738.8233
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r1048576_t1,OMP,100000000,7,1762.9549,1858.0570,1670.3823,2429.6012,13.05,56.72,17.6295,1,omp_prototype,2429.6012;1748.1493;1707.5519;1762.9549;1792.5007;1895.2589;1670.3823
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r262144_t1,OMP,100000000,7,1813.6221,1867.5227,1676.2500,2501.8150,14.38,55.14,18.1362,1,omp_prototype,2501.8150;1676.2500;1702.6607;1845.9157;1679.2488;1853.1465;1813.6221
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_rn_t4,OMP,100000000,7,5741.5675,6358.9033,5496.6258,9336.5686,19.79,17.42,57.4157,4,omp_prototype,9336.5686;6332.1368;5496.6258;5557.1661;5741.5675;6359.5691;5688.6889
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r4194304_t4,OMP,100000000,7,647.9629,675.0689,605.5629,746.2224,8.04,154.33,6.4796,4,omp_prototype,746.2224;623.8308;647.9629;605.5629;642.3812;741.8354;717.6864
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r1048576_t4,OMP,100000000,7,600.8990,611.5231,577.6266,676.7245,5.45,166.42,6.0090,4,omp_prototype,600.8990;676.7245;587.7577;581.6289;616.4644;639.5608;577.6266
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r262144_t4,OMP,100000000,7,584.0732,605.2276,557.7714,703.2823,8.35,171.21,5.8407,4,omp_prototype,559.1232;583.9653;703.2823;584.0732;557.7714;657.7575;590.6202
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_rn_t8,OMP,100000000,7,5671.9783,5934.5865,5619.7789,6637.5316,6.21,17.63,56.7198,8,omp_prototype,5640.8154;6233.4808;6098.4390;6637.5316;5619.7789;5671.9783;5640.0815
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r4194304_t8,OMP,100000000,7,501.8177,496.2977,455.2292,532.4960,6.28,199.28,5.0182,8,omp_prototype,462.0342;532.4960;522.6474;530.6251;455.2292;469.2340;501.8177
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r1048576_t8,OMP,100000000,7,392.7074,395.9683,353.7208,431.4044,6.87,254.64,3.9271,8,omp_prototype,391.1926;392.7074;406.1713;431.4044;366.7869;353.7208;429.7947
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r262144_t8,OMP,100000000,7,336.6255,365.0464,325.0761,444.1930,13.13,297.07,3.3663,8,omp_prototype,327.9432;336.6255;363.5936;432.0285;325.8647;325.0761;444.1930
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_rn_t16,OMP,100000000,7,5649.1858,6017.4387,5416.1588,7065.6252,10.13,17.70,56.4919,16,omp_prototype,5416.1588;5468.1863;6508.0531;7065.6252;5649.1858;5525.6623;6489.1991
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r4194304_t16,OMP,100000000,7,419.9612,418.1511,382.1504,461.9762,6.15,238.12,4.1996,16,omp_prototype,403.5732;391.7424;461.9762;432.6820;382.1504;419.9612;434.9724
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r1048576_t16,OMP,100000000,7,222.8792,235.8710,218.3005,261.0417,7.47,448.67,2.2288,16,omp_prototype,222.8792;218.3005;245.9765;261.0417;221.3509;222.0246;259.5234
scratch/ratio-first/corpora/enwik8dir/enwik8,omp_r262144_t16,OMP,100000000,7,245.3757,242.0575,205.9863,264.1983,7.69,407.54,2.4538,16,omp_prototype,259.3754;234.3201;264.1983;254.0628;231.0840;205.9863;245.3757
